Consecutivo;;Cliente;Producto;PesoVenta;Sacos;Precio;Total
413;01/12/2015 17:56:27;96;1;14160;0;6200;87792000
414;01/12/2015 17:57:27;96;1;12690;0;6200;78678000
415;01/12/2015 17:57:43;96;1;9125;0;6200;56575000
416;01/12/2015 17:58:17;96;1;13650;0;6200;84630000
417;01/12/2015 17:59:38;96;1;9420;0;6200;58404000
418;01/12/2015 18:00:00;96;1;13460;0;6200;83452000
419;01/12/2015 18:00:52;96;1;2957;0;6200;18333400
420;01/12/2015 09:47:44;96;1;8243;0;6200;51106600
421;01/12/2015 09:48:01;96;1;5467;0;6000;32802000
422;01/12/2015 09:48:18;96;1;13080;0;6000;78480000
423;01/12/2015 09:49:06;96;1;12900;0;6000;77400000
424;01/12/2015 09:50:21;96;1;9750;0;6000;58500000
425;01/12/2015 09:50:34;96;1;13000;0;6000;78000000
426;01/12/2015 09:50:53;96;1;14070;0;6000;84420000
427;01/12/2015 09:55:19;96;1;13880;0;6000;83280000
428;01/12/2015 09:56:06;96;1;13130;0;6000;78780000
429;01/12/2015 09:56:48;96;1;4723;0;6000;28338000
430;04/12/2015 18:22:47;96;1;10353;0;6440;66673320
431;04/12/2015 18:23:34;96;1;2267;0;6440;14599480
432;04/12/2015 18:24:30;96;1;14360;0;6440;92478400
433;04/12/2015 18:25:00;96;1;13590;0;6440;87519600
434;04/12/2015 18:25:45;96;1;14230;0;6440;91641200
435;04/12/2015 18:26:44;96;1;5553;0;6440;35761320
436;04/12/2015 18:29:01;96;1;8807;0;6280;55307960
437;04/12/2015 18:30:13;96;1;14120;0;6280;88673600
438;04/12/2015 18:31:01;96;1;12830;0;6280;80572400
439;04/12/2015 18:31:30;96;1;13740;0;6280;86287200
440;04/12/2015 18:32:08;96;1;503;0;6280;3158840
441;04/12/2015 18:33:01;96;1;12477;0;6320;78854640
442;04/12/2015 18:33:52;96;1;10570;0;6320;66802400
443;04/12/2015 18:34:15;96;1;13000;0;6320;82160000
444;04/12/2015 18:34:57;96;1;13590;0;6320;85888800
445;04/12/2015 18:35:24;96;1;363;0;6320;2294160
446;04/12/2015 18:37:18;96;1;13197;0;6440;84988680
